아이디,한글,교정된한글,label
  @user-bk3xr5lq5x,멤버 이름은 다 몰라서 누가부른지는 모르겠지만 다른 멤버들이 커버하는것같은데 메인은 바뀌지않는듯한 다른 멤버 목소리인듯한데 카메라 무빙이 따라가지않내요,멤버 이름은 다 몰라서 누가 부른지는 모르겠지만 다른 멤버들이 커버하는 것 같은데 메인은 바뀌지 않는듯한 다른 멤버 목소리인듯한데 카메라 무빙이 따라가지 않네요,1
  @user-pl8kh1fe3b,장원영사랑해,장 원영 사랑해,1
  @user-xm5gv9lw7x,안유진진짜 어케 이래,안유진 진짜 어떻게 이래,1
  @user-gn9tz1fq6o,아이고 가을아 ,아이고 가을아 ,1
  @Jennyyy572,썸넬 개이뻐서 들어옴 ,썸넬 개 이뻐서 들어옴 ,1
  @tyutyu4244,빅빅빅 스텝 부분 에어로빅 강사 같당 ,빅빅빅 스텝 부분 에어로빅 강사 같다 ,0
  @caratasmrfortheworld,유진이랑 리즈가 부르는데 왜 원영이만 잡으세요 카메라 감독님  센터라 해도 옆 캠으로라도 유진이랑 리즈 고음 찍어주시지,유진이랑 리즈가 부르는데 왜 원영이만 잡으세요 카메라 감독님  센터라 해도 옆 캠으로라도 유진이랑 리즈 고음 찍어주시지,1
  @user-yd9he7ce1q,에휴 사람들 어떻게든 돌려까려고 리즈 칭찬하는 척하면서 빙빙 돌리네 팬 아닌데도 개짱남,어휴 사람들 어떻게든 돌려까려고 리즈 칭찬하는 척하면서 빙빙 돌리네 팬 아닌데도 개짱 남,0
  @Roh_Heung_Min,장원영 잘 보면 라이브 함 성량 작아서 엠알에 뭍힐 뿐,장원영 잘 보면 라이브 함 성량 작아서 엠알에 묻힐 뿐,1
  @iiiqiq26, 크게 부르네요, 크게 부르네요,1
  @user-np5je7zq1d,댓글 보면 다들 어디 심사하러 나온 사람들마냥 본인들이 더 독기에 차있음 왜케 화가 나있는거여,댓글 보면 다들 어디 심사하러 나온 사람들처럼 본인들이 더 독기에 차있음 왜 이렇게 화가 나있는 거야,0
  @user-vq5gs5tl6e,이어폰 끼고 들으니까 엠얼제거는 무슨잡음투성이다,이어폰 끼고 들으니까 엠을 제거는 무슨 잡음투성이다,1
  @songkangg,이서 약간 비음 섞여서 그렇지 음색 독특하고 잘하는건데 내려치기 당하네리무진 서비스 안봤나들,이서 약간 비음 섞여서 그렇지 음색 독특하고 잘하는 건데 내려치기 당하네 리무진 서비스 안 봤나들,1
  @user-os9pn8ue7k,장원영은 바빠서 노래연습 못했나봄유진이 최고다 육각형 아이돌,장원영은 바빠서 노래연습 못했나 봄 유진이 최고다 육각형 아이돌,1
  @rainbowkitten567,안유진이 그동안 더 바쁘고 노래도 많이 늘었지만,안유진이 그동안 더 바쁘고 노래도 많이 늘었지만,1
  @usfneoxnwpznwj,리즈도 센터 파트 좀 줘 노래는 리즈가 부르는데 왜,리즈도 센터 파트 좀 줘 노래는 리즈가 부르는데 왜,0
  @user-mh5eu3rl1i,워뇽 ,워뇽 ,1
  @user-th2jq7cx6j,리즈랑 유진이 고음 무슨 일 그동안 아이브 실력으로 까던 사람들 다 도망가것네,리즈랑 유진이 고음 무슨 일 그동안 아이브 실력으로 까던 사람들 다 도망가겠네,1
  @u_sar,리즈 미쳣다 리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다리즈 미쳣다,리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다 리즈 미쳤다,1
  @dpwls7676,고음 부분 유진이랑 리즈 둘이서 같이 부르는건가요,고음 부분 유진이랑 리즈 둘이서 같이 부르는 건가요,0
  @user-tk2jk6zf1u,장원영은 끝까지 라이브를 안하는구나,장원영은 끝까지 라이브를 안 하는구나,0
  @user-tk2jk6zf1u,장원영 비춰줄때 다른 멤버들이 라이브 하고 있고 장원영 솔로일땐 아무소리도 안들리는데 무슨 ,장원영 비춰줄 때 다른 멤버들이 라이브 하고 있고 장원영 솔로일 땐 아무 소리도 안 들리는데 무슨 ,0
  @desert_fox173,가수에게 실력 많이 늘었다고 하는게 정상이야 연습생도 아니고 가수면 기본적으로 일정 레벨 이상의가창력은 있는 상태로 데뷔 해야하는거 아냐 ,가수에게 실력 많이 늘었다고 하는 게 정상이야 연습생도 아니고 가수면 기본적으로 일정 레벨 이상의 가창력은 있는 상태로 데뷔해야 하는 거 아냐 ,1
  @user-px3ie8kc7r,장원영은 저기서 뭘 담당 하죠,장원영은 저기서 뭘 담당하죠,0
  @user-uf2pi3th4n,이서 진짜 야무지네,이서 진짜 야무지네,1
  @max4599dd,후렴할때 장원영을 비추는데 장원영이 부르는거 아닌게 맞지 단순궁금증임 원래 목소리가 저렇게 시원했나,후렴할 때 장원영을 비추는데 장원영이 부르는 거 아닌 게 맞지 단순 궁금증임 원래 목소리가 저렇게 시원했나,1
  @bpink2380,그들은 모두 원영과 함께 코러스를 부릅니다,그들은 모두 원영과 함께 코러스를 부릅니다,1
  @x8249, 유진이 고음 다음 간간이 들리는 거 워녕이 목소리인가, 유진이 고음 다음 간간이 들리는 거 이녕이 목소리인가,1
  @Fearnot_yunjin,그런거 같아요,그런 거 같아요,1
  @user-oy7xk1tz2b,맞는듯,맞는 듯,1
  @user-le5dc7zu8u,이서 목소리임,이서 목소리임,1
  @Fearnot_yunjin,이서 목소리는 약간 하이톤인데 이건 아닌거 같아요,이서 목소리는 약간 하이톤인데 이건 아닌 거 같아요,1
  @user-tv1zo4bd2t,안유진  리즈  가을  이서  원영,안유진  리즈  가을  이서  원영,1
  @soondaegookbob,다들 이 갈고 나왔구나,다들 이 갈고 나왔구나,1
  @user-dm2bd8fu5p,장원영은 노래 부르긴 부르는겨,장원영은 노래 부르긴 부르는 거야,0
  @hilala2267,사비 원영이 타령하는 놈들 보니까 안티들 아예 노래도 안들어본놈들이 맞나봐  원래 단체 코러스파트고 성량큰 메보라인 목소리가 음원에서도 대부분인데 ,사비 원영이 타령하는 놈들 보니까 안티들 아예 노래도 안 들어본 놈들이 맞나 봐  원래 단체 코러스 파트고 성량 큰 메보라 인 목소리가 음원에서도 대부분인데 ,1
  @cafe_creamm,가을 가수 어떻게 된,가을 가수 어떻게 된,1
  @user-ye9ng7cm6i,누가 아이브 노래 못 부른댔냐 이 영상 안 보고 까는거면 상종을 안 할거임,누가 아이브 노래 못 부른댔냐 이 영상 안 보고 까는 거면 상종을 안 할 거임,1
  @Ive_love1234, 레이 괜찮아, 레이 괜찮아,1
  @IiIiiIiIiI-fc3mf,유진이 댓츠마이 립싱인줄 알았는데  오해해서 미안해 유지니가 미래다,유진이 댓츠 마이 립싱인줄 알았는데  오해해서 미안해 유지니가 미래다,1
  @user-sy7st2un3l,절 후렴 누가 들으면 장원영이 부른줄 알겠네,절 후렴 누가 들으면 장원영이 부른 줄 알겠네,1
  @user-sy7st2un3l,누가 들어도 유진이 목소리 아닌가요,누가 들어도 유진이 목소리 아닌가요,1
  @user-yp2rr8pk3t,아니 다들 노래를 부르질않는데 다들 찬양을 하고있지 가수의 개념이 바뀐건가,아니 다들 노래를 부르질 않는데 다들 찬양을 하고 있지 가수의 개념이 바뀐 건가,0
  @user-uo6ld3ds7x,너 하이브 알바지,너 하이브 알받이,0
  @mac-hs1xu, 언제는 엠알제거 된 영상으로 까더니 잘하니까 노래를 부르지 않는다하네, 언제는 엠알 제거된 영상으로 까더니 잘하니까 노래를 부르지 않는다 하네,1
  @user-yp2rr8pk3t,노래도 못하고 부르지도 않는데 노래를 잘한다는 개념이 바뀐건가 ,노래도 못하고 부르지도 않는데 노래를 잘한다는 개념이 바뀐 건가 ,1
  @user-zg9pk5tm7v,왜 항상 엠알 제거한것들 보면은 장원영 목소리만 잘 안들리지 안부르는건가 아님 겁나 조그맣게 노래를 부른건가 안유진 고음 파트때 장원영 입 벙긋벙긋하니까 장원영이 하는거 같네 그래도 안유진 목소리라는거 알아서 장원영 아니라는거 딱 알지만,왜 항상 엠알 제거한 것들 보면은 장원영 목소리만 잘 안 들리지 안 부르는 건가 아니면 겁나 조그맣게 노래를 부른 건가 안유진 고음 파트 때 장원영 입 벙긋벙긋하니까 장원영이 하는 거 같네 그래도 안유진 목소리라는 거 알아서 장원영 아니라는 거 딱 알지만,1
  @nkkkn4557,성량이 너무 딸리는듯 오늘 인가에서 한거보면 라이브 잘 들리긴해요,성량이 너무 딸리는 듯 오늘 인가에서 한 거 보면 라이브 잘 들리긴 해요,0
  @rhh4h248,카라  보고 왔다가 다시 보러 갑니다,카라  보고 왔다가 다시 보러 갑니다,1
  @ijhkjss,억까들 진짜 가창력으로 까는거 이해가 안됨,억까들 진짜 가창력으로 까는 거 이해가 안 됨,1
  @dayunlee366,근데 이서 데자뷰 부를때 갑자기 급발진 하는 것 같아보여서 프로듀서가 그렇게 하라고 시켰나봄,근데 이서 데자뷔 부를 때 갑자기 급발진 하는 것 같아 보여서 프로듀서가 그렇게 하라고 시켰나 봄,1
  @creaker3, 여기 개놀램, 여기 개놀램,1
  @user-zx4np9pt1m,장원영은 어떻게 시간이 지나도 립싱크는 그대로냐,장원영은 어떻게 시간이 지나도 립싱크는 그대로냐,1
  @-sss102,라이브면 라이브라고 말하기도 민망한 수준아님,라이브 면 라이브라고 말하기도 민망한 수준 아님,0
  @user-ts8qc4wk3d,잘한다는애들아 아직 아이브 더성장해야된다 소녀시대 라이온하트 엠알 제거보고와바 음원씹어먹어,잘한다는 애들 아 아직 아이브 더 성장해야 된다 소녀시대 라이언 하트 엠알 제거 보고와 박 음원 씹어 먹어,0
  @ssh146,원영인가 가을인가 쟤네는 노래를 하는건지 마는건지 보는 것마다 불안하고 성량도 안되네 년 넘은 그룹인데,원영인가 가을인가 쟤네는 노래를 하는 건지 마는 건지 보는 것마다 불안하고 성량도 안되네 년 넘은 그룹인데,0
  @uksle2ove,가을은 그 짧은 파트에도 음정이 떨어지네라이브 켜서 춤 연습말고 노래 연습도 해줘,가을은 그 짧은 파트에도 음정이 떨어지네 라이브 켜서 춤 연습 말고 노래 연습도 해줘,0
  @user-yj2cr2hz2z,이서원영 스트로베리 문보다는 나아진거 아님,비서원영 스트로베리 문보다는 나아진 거 아님,1
  @user-td7ug5hb8g,원녕이는 표정으로 노래하네목소리로 노래하라고,안녕이는 표정으로 노래하네 목소리로 노래하라고,0
  @user-qh2wg1ij9q,노래 하잖아여 아줌마,노래하잖아요 아줌마,0
  @user-fc5eb5fs8r,아이브 작년 축제나 공연때 계속 라이브했어요 장원영도 라이브 헀구요 억까좀 그만하세요,아이브 작년 축제나 공연 때 계속 라이브 했어요 장원영도 라이브 헀구요 얼까 좀 그만하세요,1
  @Tigerhee,칭찬 받는 꼴 못보고 좌표 찍고 달려오는 줄,칭찬받는 꼴 못 보고 좌표 찍고 달려오는 줄,0
  @user-ve6rb9od9b,장원영 소리가 작긴한데 들리긴 들리는데 왜 다들 안부른다고 뭐라하는거 이해가 안감,장원영 소리가 작긴 한데 들리긴 들리는데 왜 다들 안 부른다고 뭐라 하는 거 이해가 안감,1
  @user-cj6cq5hu5q,가을 보컬 자신없어보임아닐수도 예쁜애 예쁜애 보컬까지 받쳐주니더할나위 없네요 가을 만 좀더 힘있게불러도될거같은데,가을 보컬 자신 없어 보임 아닐 수도 예쁜 애 예쁜 애 보컬까지 받쳐주니 더할 나위 없네요 가을 만 좀 더 힘 있게 불러도 될 거 같은데,1
  @swani4252,대체적으로 애들이 양심이없네 딱히 악플도 아닌거 같은데 무슨 안좋은쪽으로 말하면 무조건 반박부터 하고보네  팬수준 알만하네 진짜,대체적으로 애들이 양심이 없네 딱히 악플도 아닌 거 같은데 무슨 안 좋은 쪽으로 말하면 무조건 반박부터 하고 보네  팬 수준 알만하네 진짜,1
  @user-om9lm8gp7w, 그냥 웃기긴 함, 그냥 웃기긴 함,0
  @lhouhohau,리즈 말고는 사실 잘 모르겠네,리즈 말고는 사실 잘 모르겠네,1
  @yonseisarang,저는 의학에 대해서 아무것도 모르는 의학드라마 애청자인데 와 저 외과의사는 맹장수술을 거지 같이 했지만 수술이란 것을 해냈네요 저는 프로그래머가 아니라 프로그램 못 짜요 와 근 데 저 분은 초면 끝날 프로그램을 분 걸리는 버그 겁나 많이 나는 프로그램을 만들었네요 저는 문과라서 미분방정식 못 풀어요 와 근데 저 수학과 교수는 미분방정식을 답은 틀렸지만 풀어보려고 노력했네요 이거랑 도대체 차이가 뭐야  저는 일반인이라서 노래방에서 춤추면서 저렇게 노래 못해요 와 저분은 저 춤을 추면서 소리란 걸 냈네요,저는 의학에 대해서 아무것도 모르는 의학드라마 애청자인데 와 저 외과의사는 맹장수술을 거지같이 했지만 수술이란 것을 해냈네요 저는 프로그래머가 아니라 프로그램 못 짜요 와 근 데 저분은 초면 끝날 프로그램을 분 걸리는 버그 겁나 많이 나는 프로그램을 만들었네요 저는 문과라서 미분방정식 못 풀어요 와 근데 저 수학과 교수는 미분방정식을 답은 틀렸지만 풀어보려고 노력했네요 이거랑 도대체 차이가 뭐야  저는 일반인이라서 노래방에서 춤추면서 저렇게 노래 못해요 와 저분은 저 춤을 추면서 소리란 걸 냈네요,1
  @---hi7eq,님들 착각하는거같아서 말하는데 엠알제거 완벽하게는 못해서 저기 나오는 목소리도 퍼 생라이브는 아닙니다,님들 착각하는 거 같아서 말하는데 엠알 제거 완벽하게는 못해서 저기 나오는 목소리도 퍼 생라이브는 아닙니다,1
  @user-tl6vg1bu5f,예전보단 좋아진것같은데 아직 뻐끔이가 많아서 아쉽다 ,예전보단 좋아진 것 같은데 아직 뻐끔이가 많아서 아쉽다 ,0
  @user-hu3ld9bw9r,악플러들아 까봐라,악플러들아 가봐라,1
  @silvery2865,장원영 언급없는거 봨개웃기네,장원영 언급 없는 거 봨개웃기네,1
  @user-tb5ty5rq9j,안유진이 기대 이상이고 리즈는 생각보다 좀 전체적으로 좀 아쉽네요,안유진이 기대 이상이고 리즈는 생각보다 좀 전체적으로 좀 아쉽네요,1
  @WIZONE-ze6qc,여러분 네컷라이브 보고 오세요,여러분 네 컷 라이브 보고 오세요,1
  @user-qi7tl1ee8o,와 진짜 이거 보니까 소시랑 그당시 여돌들이 좆되는거였구나,와 진짜 이거 보니까 소시랑 그 당시여 돌들이 좆 되는 거였구나,1
  @user-ck1wg5qu4h,장원영은 실력이 안 느네,장원영은 실력이 안 느네,0
